store_id,store_lat,store_lon,currently_assigned_hub,trucks_per_day,dist_to_Hub_East,dist_to_Hub_Central,dist_to_Hub_North,dist_to_Hub_West,dist_to_Hub_North_Coast,optimized_hub,hub_lat,hub_lon,dist_to_Warszawa,dist_to_Lodz,dist_to_Bydgoszcz,dist_to_Poznan,dist_to_Wroclaw
1001,52.31791554811125,20.834609862041816,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,15.68,115.62,217.48,274.21,298.67
1002,52.08656364984869,20.972419062622752,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,16.14,112.93,237.6,285.93,296.9
1003,52.219780077332906,20.82961929814959,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,12.68,109.75,221.85,274.49,293.58
1004,52.300948649093854,20.632597203440994,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,27.57,102.92,205.49,260.16,285.25
1005,52.017336098721586,21.24105466611846,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,28.62,128.84,257.78,305.6,311.87
1006,52.28586151794574,20.800896563587756,Warszawa,2,null,null,null,null,null,Warszawa,52.23,21.01,15.9,111.71,216.83,272.01,294.96
1007,51.52585456770664,21.24545758635775,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,79.88,128.12,287.96,318.29,298.84
1008,52.46021032777635,20.89670962976561,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,26.76,128.34,215.59,278.43,309.93
1009,52.19739226806502,21.07484990409949,Warszawa,2,null,null,null,null,null,Warszawa,52.23,21.01,5.81,124.11,238.36,291.8,308.23
1010,52.88772862095245,20.59364988005481,Warszawa,2,null,null,null,null,null,Warszawa,52.23,21.01,78.61,149.52,183.38,262.57,318.76
1011,52.42384956022702,21.123044042801272,Warszawa,2,null,null,null,null,null,Warszawa,52.23,21.01,22.93,138.96,231.87,294.22,322
1012,52.16011413046446,20.84246732800811,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,14.06,107.58,225.7,275.97,291.66
1013,51.4270820077178,20.51903746276706,Warszawa,1,null,null,null,null,null,Lodz,51.75,19.45,95.52,82.97,257.69,274.54,246.92
1014,52.04286876753049,20.988510383670665,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,20.83,112.5,240.95,287.7,296.2
1015,51.99758945612396,20.90876302998466,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,26.75,105.75,238.71,282.94,289.22
1016,51.99380067000211,21.297986400269128,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,33.07,132.16,262.53,309.92,314.8
1017,52.41243602185658,21.317894755915507,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,29.57,150.01,245.17,307.85,333.64
1018,52.3168062465834,20.62230087574387,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,28.8,103.4,204.07,259.37,285.44
1019,52.86846875882654,20.31788837556831,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,85.85,138.22,164.64,243.24,302.5
1020,52.24686120857157,21.159123624427917,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,10.61,131.74,241.44,297.29,315.83
1021,51.95294389823052,20.823561098802063,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,33.41,98.75,236.32,277.92,281.92
1022,52.32540919105847,20.981853101215027,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,10.77,124.81,226.6,284.48,308.26
1023,51.636633861396106,20.621690143650024,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,71.25,82.98,246.56,272.97,258.38
1024,52.47833872322333,21.12740871193999,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,28.76,142.56,230.21,294.62,325.07
1025,52.06206088822785,21.20766370008057,Warszawa,1,null,null,null,null,null,Warszawa,52.23,21.01,23.22,127.82,253.39,302.61,311.32
1026,51.343318436151776,20.973069141477687,Warszawa,2,null,null,null,null,null,Warszawa,52.23,21.01,98.46,115.78,286.71,307.43,277.33
